,Duration_Min,Price
3354,160,3625
2568,155,4804
3396,155,3841
4057,90,3100
4248,440,15135
3847,175,4340
8221,180,4030
7267,315,4268
5481,560,10368
8081,615,14323
2255,435,9689
4467,440,15812
4856,1545,11543
6574,165,3943
5869,290,4565
10370,735,8586
1909,270,6356
8101,845,11098
787,750,6943
9753,95,2754
6257,155,3873
8776,630,21483
6920,835,13587
9736,1275,10231
7779,1420,7690
9015,690,10877
5390,560,15342
569,165,4966
7669,160,4413
4200,165,3419
4352,1385,14960
7379,170,5228
6385,265,6937
5475,450,9663
8017,1255,13832
10479,505,17057
3433,145,4332
6881,170,4441
6917,375,12537
9248,575,6979
7920,1210,10262
6289,295,6496
6481,180,7229
1255,1595,10844
4642,570,6558
9454,360,10262
3782,175,6741
10316,165,5088
5356,960,12681
5067,1000,13882
5961,665,6818
202,170,6934
7980,840,6733
1532,1300,13376
5310,1170,11087
8935,1420,7952
9328,700,9345
596,1420,9134
8538,615,6795
3389,855,14781
3177,1485,12898
7617,555,14848
8784,520,12242
1758,90,5755
299,160,4668
5047,170,4668
800,830,13848
8719,500,13276
9043,150,4174
6599,140,3597
8997,710,11087
1825,625,11410
10308,175,8016
2582,155,4804
5485,175,4823
6246,85,3603
571,140,5515
2300,1495,14388
1543,440,11789
5773,145,3858
7332,1010,12898
906,510,7198
8578,750,7198
351,1330,13439
7708,180,10067
2261,920,13033
4610,450,7832
7371,90,1965
951,170,3943
10333,1025,10368
5734,1215,15164
2304,400,14871
2844,85,8040
1728,170,4591
6249,985,14871
9040,1830,9258
9397,395,12898
8695,470,8759
1857,150,5510
3570,570,13062
1749,1410,9653
2527,730,11841
62,615,12524
16,270,5830
3869,1995,8834
5646,1570,12373
8046,90,6795
2888,1365,17261
2406,935,8098
8901,570,13727
5774,165,5694
313,1470,13465
5431,140,11982
5283,90,2017
5387,1520,6010
963,355,5897
8189,90,3100
2545,155,4878
9336,310,9069
9297,575,14067
6526,150,5224
1653,895,6442
3216,90,4575
5482,765,7480
8042,1145,10262
4939,1215,8586
2692,170,4148
2347,665,6171
9522,865,8452
5728,695,13555
9480,150,3841
9608,170,6205
8859,1480,13067
4395,295,6496
5576,180,5769
2150,165,7229
1821,945,13941
7648,540,7878
5585,1555,9397
1669,455,6953
3882,1730,13591
8400,1760,15129
8062,165,4174
5102,465,16108
7849,1610,13759
5761,1210,16079
5008,855,7084
6318,190,6216
8270,605,13775
7781,165,5823
1138,135,4405
7339,1010,9064
1683,155,3332
9705,1410,12646
664,1795,12961
8271,965,5117
10123,570,14067
8119,715,10577
1457,435,6287
10327,660,7933
4778,165,6135
1484,290,6147
9669,1640,5117
8398,135,3543
8509,135,7295
4792,1195,15129
9136,965,11474
407,1560,12392
9124,1060,15654
8567,730,10711
5948,1345,12744
9845,705,10844
1454,190,6111
1004,1615,15129
6737,155,4878
9050,2070,17072
9464,360,11349
4195,90,2754
8379,195,6015
8614,600,14237
718,610,5963
6597,180,7229
1813,720,13587
6419,975,6628
558,575,10539
3111,90,8040
5988,1170,10844
1050,165,6961
3920,140,3815
6159,1595,12373
2915,175,8016
9689,965,6117
9437,450,7594
9117,1540,11467
3498,370,6976
7718,90,4049
6319,185,8456
9710,135,7050
9979,90,2227
6012,1080,13067
2019,1605,14231
9032,160,5403
9234,720,7408
3633,175,4591
665,1330,8586
2253,155,5224
2656,505,13994
2149,1490,14431
6636,535,13014
10229,415,6628
803,160,4668
8050,510,10844
7972,1495,10118
8703,175,5769
4854,1620,14657
7911,1630,14151
5472,665,14388
10103,1570,11627
5376,660,10197
10132,1820,12646
4327,320,5761
8826,650,12547
5064,865,13879
8434,450,14388
4488,735,7740
7626,1320,13376
6583,1010,14178
557,195,5443
2455,1035,12224
4421,170,5201
5191,865,10262
651,1145,11822
5321,550,10262
9438,840,13817
2820,1625,8085
2348,575,6093
6222,1140,13882
2985,600,10262
4437,520,8586
8157,90,1965
305,1210,10939
8065,600,10262
7228,90,5678
5388,1320,13376
3406,150,4409
7647,170,3971
5122,500,5192
2377,180,8541
3786,345,6426
8073,85,4050
3427,295,11160
8220,1615,13029
4008,645,7354
544,805,11096
2025,910,12192
2573,765,13817
6340,90,2017
9762,920,10408
6911,385,9345
1483,90,3210
5252,90,1965
5368,170,3943
2550,1550,7064
7020,175,7229
6682,170,6121
4656,685,14571
5570,320,5298
2903,1025,10844
2640,1580,22096
4281,175,4823
7120,750,14151
4586,160,4668
6968,155,4804
3253,490,12616
1837,1210,11432
8647,170,4878
2586,160,5403
4090,920,21130
4426,195,5601
9909,870,7452
9655,425,6171
6956,170,4483
1573,835,17057
4265,740,10844
8162,1375,15129
9080,1680,10262
2878,165,5911
7367,175,4823
5302,940,6442
2351,660,13587
1655,875,13817
9712,270,4098
5309,90,5678
1882,1025,14571
3332,1180,8603
1131,930,7723
8450,90,2017
2720,170,7652
1296,1220,12865
1649,810,15129
4783,965,6979
9256,140,3597
1637,590,9899
9366,745,12080
8070,1830,10151
5287,90,2228
9052,175,4823
10250,170,6121
3993,760,12009
4300,155,5613
4050,965,10366
9500,535,13014
3851,550,16079
2353,195,6015
10436,640,15147
9307,180,4030
10447,800,11087
9038,165,4777
4423,165,4483
9636,910,6795
8767,90,5678
3604,750,13377
7147,175,6144
2181,185,3702
8248,640,13502
3680,155,4804
512,630,9627
2794,585,8586
7049,85,5678
1447,90,4392
7629,175,4823
7353,570,6573
3942,300,7725
8562,795,17057
5284,1320,10919
6711,160,4462
3363,140,3850
6243,1615,11733
634,570,9899
10489,85,5678
8796,420,13587
4133,865,10262
2036,175,4823
955,135,6627
792,765,7927
10224,155,4145
3322,925,9646
1854,170,3749
5738,1200,9663
8052,480,13377
6790,155,3873
6135,800,14781
4325,160,5403
8459,775,13784
4166,1415,10262
6047,900,6007
592,765,5117
606,655,6540
1383,150,5224
6565,300,10262
219,165,5911
2472,625,10203
5009,860,7575
8839,860,7191
8772,495,7832
9132,215,5162
8471,165,6961
7245,1620,12872
5969,135,3543
5313,175,3573
3069,155,4460
7591,290,4268
6947,375,7934
962,220,5162
9164,160,3573
3833,155,4804
5640,175,7303
8286,90,8040
2588,650,9412
7340,730,14388
10080,1615,10413
2575,1775,18293
10162,510,9424
282,160,4804
4804,185,7229
4770,160,4462
249,1410,10651
6878,155,5224
4357,150,4082
6928,860,7006
10040,170,4778
4993,1005,7832
1916,1795,14887
8564,145,6297
8714,340,6451
1002,560,6442
8173,1345,12219
5918,965,8452
9815,1580,13591
388,1295,13292
9090,1170,4647
8440,780,7408
5345,390,9424
8244,175,4423
925,600,14237
8929,910,8586
6256,165,6722
227,90,4995
5660,75,3100
440,240,5013
9426,540,11924
7679,185,6934
1929,435,8603
4814,1270,10262
6197,170,4282
8312,195,7202
5531,590,11667
900,145,4174
6571,1615,15129
7886,435,12395
9216,295,4957
7210,320,5298
4771,135,6300
8737,355,4959
4543,270,6356
4432,590,8824
9838,505,15318
6775,930,13377
9817,180,7229
7467,145,3841
2707,520,14714
1071,135,3687
6503,395,13369
8149,535,10368
1855,500,6810
4668,625,10413
5542,435,8479
4019,660,16289
10213,165,6961
520,1625,10991
4053,170,3383
10095,195,9564
8662,175,7229
4496,1490,13591
5633,625,10203
2042,75,2575
7105,1440,9535
34,330,12373
1587,180,7229
8635,150,3873
1847,1355,10262
2883,1435,10203
9600,310,6388
9460,425,9709
8774,510,7154
8449,500,12383
10286,1660,10031
899,1560,11972
8903,920,13033
6040,185,7673
263,835,7695
8282,1285,10844
9531,940,6674
5458,1255,6482
6214,735,8669
9434,330,9663
5198,170,7080
553,395,14151
8148,1640,8085
1373,745,11087
4879,345,13364
2745,345,8781
485,665,10846
8433,280,5386
8045,1445,15025
8275,165,6860
4905,600,10197
9877,90,4995
555,155,4488
8980,320,7174
8655,175,5706
4117,735,15809
10324,170,4423
10417,400,9663
4188,630,6896
9980,90,4995
3526,475,7294
8126,1460,14300
10164,865,12199
1342,495,6128
8213,650,9134
5833,965,4437
3368,375,11726
6720,1300,13376
10129,865,6151
9240,1560,12199
8690,570,14571
6321,885,13817
3472,1040,10262
9174,1630,11467
1429,1210,12373
1951,895,6104
2143,350,9385
3600,365,10844
5211,1295,9314
6668,1215,8582
9581,810,11150
4237,1350,8820
1556,440,11789
4236,535,10368
8819,240,4226
2401,795,8476
8127,175,5515
7858,475,10844
119,715,15554
8927,325,5636
4184,145,4174
561,180,7229
3755,1000,13882
5300,435,8781
802,730,13941
2197,1415,12373
4967,170,3419
2569,160,4319
8899,1420,7480
5766,455,13759
10192,815,22294
8622,1830,10151
4097,180,7229
7645,315,4649
4329,1590,8586
6837,1530,12898
3931,1035,16057
6414,1475,13547
3265,680,15135
2284,150,3815
8952,515,13611
4643,720,14067
7664,165,7229
9084,1330,7594
17,1355,10262
4033,180,7229
5559,170,3383
1993,630,8266
5045,85,2050
7092,505,13067
1028,435,7064
4627,1655,13759
10449,915,15147
9779,470,21934
5253,1610,16289
2787,720,10197
2603,945,8295
6057,1550,9135
1686,1665,12224
6909,500,11753
7928,660,11134
8837,170,4668
4076,840,13727
10007,285,8021
8632,170,5515
5180,765,7480
4413,745,14714
175,305,5073
401,1490,13381
4641,1555,14815
6938,155,4148
6557,135,3543
7409,135,3543
7356,180,5198
5397,1410,13437
4801,155,3384
1037,90,2754
6852,320,7095
5937,175,8033
7260,1125,13029
8584,440,11622
6633,345,6147
5297,655,9586
7326,1395,8372
5189,320,5298
3376,315,7605
2411,160,4804
7187,730,14848
984,325,6218
7057,690,12384
1278,705,14781
729,795,8907
7673,175,6144
4270,395,14151
10136,720,11323
5429,155,3841
4371,185,5201
1121,1010,9663
3108,870,13067
2979,660,10577
5901,275,4860
9662,1600,15170
4292,170,4591
5820,170,5228
9902,1595,10844
7524,415,6628
7540,765,9646
4116,980,5626
1676,980,13366
1975,190,6216
1853,460,18275
5437,180,3943
4673,740,11200
4613,620,14714
5510,590,10844
3384,760,6795
6396,1225,6645
8453,435,9134
384,1425,10262
3188,170,5831
9955,135,3859
705,170,4462
3948,80,4937
943,1415,10697
7023,170,4282
7028,1700,7662
4674,1595,10262
8546,590,10676
8527,155,4145
3219,545,9646
2495,1495,9663
2510,180,4544
8374,705,8837
3583,1395,10262
7954,1745,13067
8022,155,11913
4471,870,13843
645,1040,12898
10148,570,13377
10093,565,9646
6180,390,15136
9673,240,4226
5524,325,6284
9300,385,8386
8627,195,9564
3897,520,13941
4442,155,4145
6690,440,12327
4848,170,4668
6185,865,14388
9442,1130,13292
10135,395,12242
5891,1820,21571
8659,465,9254
4824,1640,12074
9606,875,13250
5503,170,5176
5923,145,4439
2239,1320,10919
7584,945,12732
9682,830,6752
1598,1090,14237
8612,90,2647
9771,1430,15129
9508,470,7845
7265,720,12192
6248,640,7005
6789,365,11087
2031,150,3841
3555,150,3807
10023,545,10696
5795,180,7229
2358,765,8146
10442,985,8765
1689,965,7480
2089,90,2227
9301,830,6795
836,170,3943
5228,1255,12802
10478,505,10877
5248,1200,14388
6456,480,15603
9884,730,9663
6536,440,15439
3126,360,16079
5864,1580,7615
6948,485,11360
3296,295,10308
4161,290,4775
1090,140,3873
8088,550,12373
2718,970,14960
588,730,10844
660,90,4049
4,285,13302
7894,160,4668
9852,175,11598
8508,1080,11467
8825,740,10844
784,1775,16704
1309,140,3597
7434,705,12767
9971,135,4667
9509,175,7229
2326,800,14151
10283,145,3858
2461,860,6526
1512,140,3597
8430,930,13377
6371,1225,12373
3831,395,13843
8015,340,6752
2435,1640,8610
3261,780,13587
3628,1215,13731
3353,535,5963
982,425,6442
8257,1275,11281
200,170,6961
8472,395,9794
7348,630,5684
7864,870,13067
3228,425,6287
10207,530,7045
7464,380,7317
9578,180,6478
4525,90,1965
1224,875,8586
6562,870,11249
8793,300,5065
9392,385,9646
4576,450,7198
10244,1595,12646
3867,135,7295
4928,420,16338
3846,270,8488
5601,185,4030
9462,560,13029
9418,420,13727
3424,520,8586
6346,630,9526
3829,170,4668
5769,1300,13376
9598,175,4823
54,170,4483
4479,85,8040
5789,600,14237
6224,155,4804
1086,600,8099
2712,180,3943
1390,795,9977
1534,765,7480
8636,140,4807
8523,150,5989
3908,165,4423
3854,150,3873
3018,1005,12692
6240,170,3919
1627,390,11134
4579,1275,10441
4221,455,6442
10112,1365,13067
22,170,3943
4410,1760,15129
6549,1570,10262
6523,155,3807
7735,570,8907
6608,240,4226
8875,90,4049
6796,1395,16079
1461,1700,11542
666,290,5279
2402,90,2647
10104,970,13310
9772,545,8576
1221,930,8452
5235,1115,8892
2605,750,7198
5509,155,4804
3017,1610,9663
3277,735,9929
7050,925,7893
6115,895,6979
3862,1140,13882
3818,1210,11774
10418,615,11789
8813,1395,11134
1776,340,13470
1051,175,5586
1977,570,15136
8591,1640,7480
5614,140,3850
9391,170,3419
9565,705,6838
618,525,13817
1599,535,8266
8699,800,12692
9958,1375,15129
5402,175,4030
5157,615,9794
2345,730,6224
6122,510,14571
6095,690,14151
4661,790,9345
3187,625,6314
3121,555,8401
6382,1590,5704
2695,1265,14571
10272,835,10406
7935,170,3943
217,175,7229
7044,1050,11087
5945,955,11853
533,175,7229
248,190,8001
5684,810,13029
8881,1070,13817
6498,475,9899
5593,540,12192
5571,1050,15764
8711,145,3540
7627,170,4077
10437,1600,11228
9146,180,4544
8000,620,10262
5076,680,16736
170,185,8246
10301,170,3419
4451,1100,12373
6654,150,4508
4189,175,6144
6367,150,3841
1831,180,4441
3204,175,4823
5620,95,2227
7211,90,2227
10010,390,7408
2070,170,5469
3899,450,12284
6891,1430,16704
10285,1145,10262
5569,155,5613
3295,175,7648
1564,165,7276
3775,170,6961
940,1330,13941
2577,1565,11038
8555,1005,10539
2623,1080,10539
2356,1630,14151
454,145,3858
9302,155,4409
1714,690,14151
9481,1615,10203
2570,1270,16079
761,925,15554
10137,150,4409
1147,345,6195
5793,745,10262
6889,290,5069
2229,165,7171
4330,180,6144
9042,1770,17686
2228,805,14960
3836,170,4591
1950,90,2437
2119,450,12898
8561,810,13292
1664,630,6943
6850,330,8327
7625,150,4409
1256,190,4851
4446,780,11264
5815,435,19225
8475,470,7155
2145,145,3873
10140,810,13029
6011,80,3100
1287,450,14178
2762,90,4049
7866,155,4460
9282,845,18286
462,585,14388
2188,1225,10577
1963,735,13941
7285,185,7229
5324,490,6412
5880,800,13941
4177,440,15812
9498,85,8040
9763,1470,12488
1253,1320,13376
7641,75,11185
1153,750,14151
3911,830,9021
8754,685,7832
2410,1320,10919
9165,145,3841
5231,180,3943
8648,90,2227
7921,575,13067
1684,285,6208
5675,1200,14687
1414,1560,11989
1409,280,16757
3496,195,7202
4506,135,3687
874,170,5228
1941,85,4995
7374,1010,13002
4901,195,4886
4864,390,8283
1875,685,14781
7251,160,4668
7547,270,4466
3817,865,8505
8479,180,4544
4717,345,13626
7025,1655,10262
7832,1100,10262
7612,340,11410
9111,90,5678
5112,170,4823
10070,280,11087
1971,630,6270
5513,1425,7832
554,1655,8586
3804,870,14151
7452,90,2227
5768,1700,11542
5323,145,3858
1578,1730,13381
965,1050,17261
4761,165,5176
4685,150,3807
2108,270,5726
7344,1195,12819
9688,145,4174
3192,135,3859
1511,810,15129
1885,570,14571
8447,145,6297
9247,160,4804
5830,1075,14151
6206,1545,8586
1102,440,10529
8027,1640,8610
3388,170,4545
1748,1995,14219
10413,735,8669
9664,845,6206
6130,615,6838
2408,555,16108
6369,840,12692
7385,1170,10844
7714,140,3597
5879,1840,13253
10049,1320,10919
6018,1330,13941
7414,1425,10262
413,730,14388
6986,1125,13029
2645,335,6301
1190,765,7480
2957,80,2759
5939,910,13292
2847,1515,14231
10122,920,6785
2805,685,14781
3417,1975,11522
1040,335,12373
5182,520,8309
10256,140,11982
7014,1215,13941
321,885,11507
8252,1495,7064
7398,695,11087
4883,780,9794
4428,870,6451
3186,185,8016
9478,90,8040
1817,170,4668
1075,865,9187
3759,90,4049
1828,840,15078
145,505,15318
6484,155,4804
4104,415,6794
559,750,7723
2909,135,3543
9267,835,13062
2781,170,4729
7060,155,4804
517,830,6752
8274,295,5975
6201,140,3597
4211,1595,12681
7107,1375,8586
10278,1235,12284
3841,1325,10262
6982,170,4591
2918,90,2017
7777,1420,7480
10317,310,5351
8909,1255,7480
9060,195,5000
870,1700,15532
6544,1530,15554
3489,90,2017
2996,160,4778
6480,1055,14781
3668,1485,12488
711,1470,12604
8414,590,10844
9205,270,7657
7525,730,9663
10322,615,8372
273,85,2754
5670,315,7228
5218,435,22270
6326,1105,10262
9742,90,2227
116,965,12677
2361,1055,22270
4736,180,7648
8301,610,12242
9568,935,13817
2083,370,5052
9341,1595,10844
1919,175,11111
5155,1570,5177
6453,195,5601
8700,170,4823
4930,650,6540
7319,1200,13007
2938,865,12898
7037,485,11560
8357,165,7276
847,685,12681
1785,845,22619
7103,195,7202
6033,135,4667
4899,800,14151
7615,240,4226
7026,190,6741
4490,155,6565
1635,140,3597
8766,765,6494
3463,1395,9412
10513,155,4145
6001,485,11622
5293,180,3943
411,170,3943
7216,440,18550
1459,455,6442
5014,175,5048
456,910,6795
9310,1470,12954
9701,1450,12080
4683,1355,10262
5533,1265,5932
5669,140,3543
10441,685,14781
4364,160,4804
5804,185,8016
1413,175,4823
2056,890,14871
10172,520,11789
7568,170,7303
4809,140,3873
2889,1615,15129
791,170,3419
6892,895,11432
599,590,10844
2223,835,17267
4850,165,6985
1829,545,8891
3689,150,4107
7189,625,9134
10222,75,3625
6233,555,14848
6140,720,12192
8114,140,3858
6209,755,18286
5183,425,13344
8505,140,3841
5932,145,4332
9761,180,7229
2520,920,7878
4220,800,11702
6691,90,4049
2419,155,5613
2174,645,8099
9770,535,13029
5701,315,5636
2233,1075,14151
7484,175,4544
9589,930,13817
823,170,4148
9185,540,5752
157,1545,10844
2729,600,12373
4126,170,5403
4534,180,6094
6096,1100,10262
7347,710,16697
9883,585,8586
8855,155,4804
8355,165,5228
7828,570,14781
8210,805,10262
7959,835,10406
4386,330,8844
6579,640,7670
2529,1325,12898
6142,885,12898
9260,1065,9187
10033,1285,7757
4165,1640,9870
2815,175,3919
2505,1320,13376
9424,1630,9314
9675,140,3873
1176,865,8627
4563,535,9316
3588,865,13039
2072,160,11913
1066,95,2227
326,175,7303
8736,540,7038
10268,180,5769
4907,705,14781
2131,570,12284
9356,80,3100
226,90,1965
7789,470,7575
7569,965,6117
1972,1285,13584
8877,155,3873
6800,165,3383
1830,1200,7757
6826,905,7893
3657,175,4823
3687,90,2754
6890,170,3257
252,1455,6587
3860,480,6628
9963,275,4966
3505,195,4886
5775,1475,17234
2698,555,9646
4197,425,14781
6063,170,5403
6020,315,9064
755,170,4423
3032,865,8662
1550,775,9663
2465,170,4423
2079,330,10262
101,735,14939
1705,90,2227
3989,390,14486
6925,180,8016
3660,175,4823
4167,540,6513
5577,190,6216
4980,90,4392
5550,660,18581
10298,85,5678
5787,175,7229
10411,90,5755
8226,910,6795
3206,940,10262
7342,970,8839
7752,300,14714
5819,265,4205
7163,1105,11627
6195,170,5403
7957,175,7229
9264,830,13376
4876,175,6860
1921,180,4030
1077,590,14781
2252,925,9646
7395,175,8016
7689,160,4462
5515,1075,10953
9758,560,6674
8059,920,13817
3627,810,13014
3251,165,7171
4036,1830,10151
10318,975,8610
9333,425,6442
7844,830,6795
8740,425,7064
382,690,12524
3203,1820,12436
10331,800,18736
7759,375,7832
4963,175,6860
1382,510,7408
4171,455,7038
9386,560,15129
6192,395,10791
2271,920,7740
3023,140,5277
7022,1820,11228
2195,1450,10953
6710,135,3543
543,175,5048
2704,335,6017
1586,180,3943
2961,730,14388
4140,350,5281
2919,670,16736
2136,180,5198
6620,180,8016
10328,460,10678
5947,155,3859
8034,360,10262
10434,1600,11281
8965,720,5192
849,165,6144
854,1580,9347
8961,155,4804
8095,395,10262
5959,590,13339
9564,165,6138
1809,705,7258
1761,810,9845
2836,180,7229
5600,1670,12358
9790,80,2753
9681,180,7229
1736,155,5613
842,315,6711
2600,140,11982
8838,195,9564
5184,890,4227
3556,790,9555
9532,780,7408
5337,705,10844
5241,90,4049
9972,985,6223
6960,825,10262
3290,175,4823
4516,435,16946
6576,790,8610
8217,665,6171
2198,840,14151
4631,1555,12080
3697,180,8016
2249,435,8603
1789,1475,21954
4339,315,6297
7537,1400,10844
9118,1320,10919
850,195,6015
4636,170,4823
10260,545,9856
8502,515,6442
8164,590,11667
2871,90,3210
4477,720,12537
9585,1305,11552
9472,920,8845
5661,180,8016
4820,365,14571
5169,315,6749
5417,155,5224
724,140,11982
366,220,5162
8781,310,5912
7654,1125,10368
5506,135,3597
5494,165,7229
9262,270,8026
7890,1395,14714
4465,695,16932
2341,160,4804
5440,155,4804
203,740,10877
4120,90,2227
7983,170,4668
5299,1630,13882
6776,90,2227
2164,85,4995
3964,1480,14300
9759,750,7198
2393,295,5975
4968,1665,15164
3027,305,10112
637,170,4823
3180,655,12557
7915,775,11087
9446,735,12615
6510,1045,12723
927,1680,10262
195,730,12471
5150,520,6171
8463,90,2017
8949,630,10877
5881,155,4488
4896,170,4423
1310,90,5678
4322,375,12284
1751,1575,10844
94,155,4880
6812,765,7480
1827,1490,13381
8900,1855,10703
7248,170,4668
1316,1415,14053
7064,975,6628
9939,170,4423
7501,760,6795
7827,485,6653
9670,1215,8586
3859,140,6482
9315,510,14781
1381,615,13555
8644,425,10844
8326,895,5883
6425,170,3383
1657,910,14388
4575,80,3100
5712,360,14714
3940,585,9663
1701,140,3850
7291,425,13344
470,365,12583
7003,965,6117
2379,140,3847
1577,1595,10844
8852,180,8016
1248,455,7831
1638,175,7303
7520,170,5228
8790,380,7317
8745,1415,10262
7499,1285,11467
5347,175,3257
6170,170,6961
6874,1700,12802
5590,165,4804
9123,400,22270
5058,170,4990
6064,145,3841
6070,1075,8066
1394,165,6961
1869,425,14781
727,140,3873
2608,1440,6528
7867,570,14571
376,1210,13349
4095,1280,12898
4649,515,7048
3271,910,6795
3157,180,8016
4774,560,6305
9309,755,7832
6595,850,10031
1111,590,10844
8532,560,13014
3864,155,4878
6473,375,13941
1161,575,13542
1692,155,4804
3375,170,4077
2589,685,10844
3659,1560,11682
2434,1180,9653
3100,155,4174
9056,155,4148
5065,155,4174
5447,1600,14960
4370,420,13727
7376,1620,14657
4640,505,10877
6002,910,10197
7048,920,6093
7579,735,8669
10101,1300,13376
2968,365,13555
9435,1380,16389
5567,375,8372
4549,1625,8610
9440,1125,10368
2593,490,6007
4961,180,4990
8960,415,5883
538,475,13759
5780,665,11948
5306,420,14067
1604,910,9663
4164,895,5883
3285,180,4823
4397,705,12032
8179,455,6723
8145,140,3597
9590,1440,8610
6754,450,8586
2916,330,12898
5708,1485,10262
987,180,8016
2270,930,9187
6200,175,4823
126,960,14388
2256,920,13033
3040,1285,13044
9006,170,7648
5921,390,6795
5743,1025,14571
7843,660,8627
10138,745,16736
7565,155,4174
4028,85,8040
3225,960,14571
285,1655,10262
314,140,3543
3327,90,3175
1721,140,3850
680,175,4823
2479,175,3971
977,600,10407
1960,495,7335
1525,295,8443
2723,1420,10929
6680,135,4405
3883,155,4804
8047,1615,10623
4154,480,13727
1681,155,6565
6733,1380,19681
3691,90,2227
1891,910,9905
9079,285,8064
779,1150,10031
7259,135,3543
8681,180,4544
7489,375,7832
4648,1285,10844
8741,170,4823
4606,315,4649
4659,160,4174
2634,955,5192
4793,305,7255
9031,1430,15129
2478,1530,11087
4324,370,6528
4867,1365,19266
1548,810,6093
607,150,3873
7914,390,8283
716,155,4174
364,925,9646
1247,660,9718
6084,450,12898
4299,395,10703
7808,165,6961
2004,170,4777
2067,780,6883
3196,175,4823
9352,835,13587
8436,635,6442
10400,1695,12681
8067,305,10112
6987,140,3543
5131,140,3841
4660,145,3540
7240,135,3384
4737,165,8851
1089,900,8475
10196,90,2753
10131,1440,9345
1794,585,13941
7703,170,3943
2742,810,10909
4272,170,3898
7312,90,8040
6708,425,13941
7168,315,6151
4989,825,9413
1503,170,3873
6004,90,2754
10014,600,14714
7429,1575,8529
2491,675,14848
6062,665,7832
7159,150,4804
10167,175,4945
3310,1630,14151
978,690,9315
1554,180,7229
2735,515,6558
4826,315,7252
6609,300,4588
5680,1365,14861
1232,1520,14151
8442,905,8891
6230,265,8258
3941,750,6416
1784,740,10844
2192,915,15147
5851,575,13067
10218,780,13259
1570,435,5608
7515,625,7503
5563,1530,10262
4545,2025,10835
6417,95,2227
4859,85,8040
1009,90,5678
9144,705,5683
5466,1595,12898
4670,1620,13292
1727,150,3841
3938,945,8586
730,1150,10844
5414,395,14151
8565,145,4332
2887,435,5608
9243,150,5510
2068,720,6883
1347,480,14067
5119,175,3898
1938,840,14151
5261,1300,13376
9809,895,6104
7526,365,9899
9017,1005,14151
5816,145,6297
6780,90,5232
8247,750,13377
2721,690,14151
4032,165,8588
1418,1430,13941
3282,170,4282
9138,85,2228
4532,440,11789
6089,690,14151
7012,1720,7064
3201,150,4804
2514,195,9564
3553,1200,17732
6999,460,18275
5290,810,15129
422,600,14714
8950,150,4804
1095,170,3383
2309,1110,7832
