,Airline,Source,Destination,Total_Stops,Month_June,Month_March,Month_May,Season_Summer,Dep_Hour_Sin,Dep_Hour_Cos,Dep_Min_Sin,Dep_Min_Cos,Day_Sin,Day_Cos,Weekday_Sin,Weekday_Cos
3160,2852,2155,2155,2,0,0,1,0,1.0,0.0,0.0,-1.0,0.59,-0.81,-0.97,-0.22
10013,2852,3327,3327,2,1,0,0,1,-1.0,-0.0,1.0,0.0,0.0,-1.0,-0.78,0.62
1903,1257,1578,961,1,0,0,1,0,1.0,0.0,-0.87,0.5,0.59,-0.81,-0.97,-0.22
8556,1553,3327,3327,2,0,1,0,0,0.26,-0.97,-0.5,-0.87,-0.59,0.81,-0.78,0.62
9735,2852,3327,3327,2,1,0,0,1,-0.97,0.26,1.0,0.0,0.59,0.81,-0.78,0.62
10009,1257,2155,2155,2,1,0,0,1,0.97,-0.26,0.0,1.0,-0.59,-0.81,-0.43,-0.9
8996,141,1578,961,1,0,0,1,0,-0.87,0.5,-0.5,-0.87,0.95,0.31,-0.0,1.0
6463,1257,2155,2155,3,0,0,1,0,0.97,-0.26,0.0,1.0,0.0,-1.0,0.43,-0.9
5846,1553,3327,3327,2,0,1,0,0,0.97,-0.26,-0.5,0.87,0.59,0.81,-0.43,-0.9
766,1553,301,301,1,0,0,1,0,0.97,0.26,1.0,0.0,0.0,-1.0,0.43,-0.9
2027,141,1578,961,1,0,0,0,0,0.97,-0.26,-1.0,-0.0,0.95,0.31,-0.97,-0.22
9389,872,3327,3327,2,0,0,1,0,-0.97,-0.26,-1.0,-0.0,0.59,-0.81,-0.97,-0.22
1954,1553,526,526,1,1,0,0,1,1.0,0.0,0.5,0.87,-0.95,0.31,0.97,-0.22
8803,2852,2155,2155,2,0,0,1,0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.43,-0.9
7301,233,2155,2155,2,1,0,0,1,1.0,0.0,0.87,0.5,-0.59,0.81,-0.0,1.0
8731,1553,3327,3327,2,0,1,0,0,0.26,-0.97,0.0,-1.0,0.59,0.81,-0.43,-0.9
3983,608,2155,2155,1,0,0,0,0,-0.5,0.87,-0.87,-0.5,0.0,-1.0,0.78,0.62
4244,1257,3327,3327,2,0,0,1,0,0.0,-1.0,0.0,-1.0,-0.95,0.31,-0.78,0.62
9659,1257,3327,3327,3,1,0,0,1,0.0,-1.0,-0.5,-0.87,0.59,-0.81,0.78,0.62
10225,2852,3327,3327,3,0,0,1,0,0.97,0.26,0.0,-1.0,-0.59,0.81,-0.43,-0.9
10330,1553,3327,3327,1,1,0,0,1,-0.5,-0.87,-0.87,-0.5,-0.95,0.31,0.97,-0.22
4841,608,2155,2155,1,0,0,1,0,1.0,0.0,-0.5,-0.87,-0.95,-0.31,0.78,0.62
5596,872,3327,3327,2,0,0,1,0,-0.26,-0.97,0.0,1.0,-0.59,0.81,-0.43,-0.9
7485,1553,301,301,1,0,1,0,0,-0.5,-0.87,0.87,-0.5,-0.95,-0.31,0.43,-0.9
2487,872,3327,3327,2,1,0,0,1,-0.97,-0.26,0.0,-1.0,-0.59,-0.81,-0.43,-0.9
9851,1257,3327,3327,2,0,1,0,0,0.71,-0.71,-1.0,-0.0,0.59,0.81,-0.43,-0.9
9173,608,3327,3327,2,0,1,0,0,0.87,-0.5,-1.0,-0.0,0.59,0.81,-0.43,-0.9
5758,2852,3327,3327,3,1,0,0,1,0.97,0.26,0.0,-1.0,0.59,-0.81,0.78,0.62
8882,2852,2155,2155,2,0,0,1,0,0.87,-0.5,0.5,0.87,0.59,-0.81,-0.97,-0.22
8174,2852,2155,2155,2,0,0,1,0,-0.87,0.5,0.5,0.87,0.59,0.81,0.97,-0.22
7681,872,3327,3327,2,1,0,0,1,-0.71,-0.71,1.0,0.0,0.95,-0.31,0.78,0.62
9178,2852,1578,617,2,0,1,0,0,0.26,-0.97,0.87,-0.5,-0.95,0.31,0.78,0.62
7350,2852,2155,2155,2,0,1,0,0,-0.71,0.71,-0.87,0.5,0.59,-0.81,-0.0,1.0
9787,1257,3327,3327,3,0,1,0,0,0.97,-0.26,0.5,-0.87,-0.59,-0.81,0.43,-0.9
7094,872,3327,3327,2,1,0,0,1,-0.5,-0.87,0.0,1.0,0.59,-0.81,0.78,0.62
10065,608,3327,3327,2,0,0,0,0,0.87,-0.5,-1.0,-0.0,0.59,-0.81,0.43,-0.9
2722,608,1578,961,1,1,0,0,1,0.71,-0.71,0.0,-1.0,0.95,0.31,0.43,-0.9
7166,2852,3327,3327,2,1,0,0,1,-0.26,-0.97,0.0,1.0,0.59,0.81,-0.78,0.62
8945,608,2155,2155,1,0,0,0,0,1.0,0.0,-0.5,-0.87,-0.59,-0.81,-0.78,0.62
758,2852,3327,3327,3,0,0,1,0,-0.97,0.26,-0.87,0.5,0.59,0.81,0.97,-0.22
7247,2852,2155,2155,2,0,0,1,0,-1.0,-0.0,-0.5,-0.87,0.59,-0.81,-0.97,-0.22
8413,608,2155,2155,1,0,0,1,0,0.71,-0.71,0.0,1.0,0.59,-0.81,-0.97,-0.22
6990,608,2155,2155,1,0,0,0,0,1.0,0.0,-0.5,-0.87,0.59,-0.81,0.43,-0.9
7601,2852,2155,2155,2,0,0,1,0,-0.87,0.5,0.0,1.0,-0.59,-0.81,0.78,0.62
6760,1553,2155,2155,1,0,0,1,0,-0.97,-0.26,1.0,0.0,0.95,0.31,-0.0,1.0
9045,1257,2155,2155,3,0,0,1,0,0.87,-0.5,-0.87,-0.5,-0.95,0.31,-0.78,0.62
1616,2852,3327,3327,3,0,0,1,0,-0.26,-0.97,0.5,0.87,-0.95,0.31,-0.78,0.62
2775,2852,2155,2155,2,0,0,1,0,-0.87,0.5,0.5,0.87,0.0,-1.0,0.43,-0.9
10151,1257,526,526,1,0,0,1,0,1.0,0.0,-0.87,-0.5,0.59,-0.81,-0.97,-0.22
7110,1257,526,526,1,0,1,0,0,1.0,0.0,-0.87,-0.5,0.59,0.81,-0.43,-0.9
5430,2852,3327,3327,2,0,1,0,0,-0.26,-0.97,0.0,1.0,0.59,0.81,-0.43,-0.9
6591,2852,2155,2155,2,0,0,1,0,-0.87,-0.5,0.0,-1.0,-0.59,0.81,-0.43,-0.9
7705,608,526,526,1,0,0,0,0,0.97,0.26,-1.0,-0.0,0.59,0.81,0.78,0.62
942,608,2155,2155,1,0,0,0,0,-0.97,-0.26,-0.87,0.5,0.95,-0.31,0.43,-0.9
1213,1257,1578,961,1,0,0,0,0,-0.26,-0.97,-0.87,-0.5,-0.95,0.31,-0.43,-0.9
7974,2852,3327,3327,2,1,0,0,1,0.5,0.87,1.0,0.0,-0.59,0.81,-0.0,1.0
1944,1257,2155,2155,3,0,0,1,0,0.87,-0.5,-0.87,-0.5,0.59,0.81,0.97,-0.22
5342,1257,1578,617,3,0,1,0,0,0.5,-0.87,0.0,-1.0,-0.95,0.31,0.78,0.62
3497,359,2155,2155,2,1,0,0,1,-0.97,-0.26,0.0,1.0,-0.59,0.81,-0.0,1.0
8663,1553,3327,3327,2,1,0,0,1,1.0,0.0,0.87,-0.5,-0.59,-0.81,-0.43,-0.9
9580,2852,3327,3327,2,0,0,1,0,-0.71,0.71,0.87,0.5,0.59,0.81,0.97,-0.22
2444,2852,2155,2155,2,0,0,1,0,-0.97,-0.26,0.0,1.0,0.59,0.81,0.97,-0.22
5657,608,1578,961,1,0,0,1,0,0.97,0.26,-0.5,-0.87,-0.95,-0.31,0.78,0.62
6086,2852,3327,3327,2,0,0,1,0,0.71,-0.71,0.0,1.0,-0.95,0.31,-0.78,0.62
3354,608,1578,961,1,1,0,0,1,0.97,0.26,-0.5,-0.87,-0.59,-0.81,-0.43,-0.9
2568,1553,2155,2155,1,1,0,0,1,-0.87,0.5,-0.87,-0.5,0.59,-0.81,0.78,0.62
3396,608,2155,2155,1,0,0,0,0,1.0,0.0,-0.5,-0.87,0.59,0.81,0.78,0.62
4057,1257,526,526,1,1,0,0,1,-0.26,-0.97,-0.5,-0.87,-0.95,-0.31,-0.43,-0.9
4248,872,3327,3327,2,0,1,0,0,0.26,-0.97,0.0,-1.0,0.95,-0.31,-0.0,1.0
3847,141,1578,617,1,0,1,0,0,0.26,-0.97,0.87,-0.5,-0.95,0.31,0.78,0.62
8221,2852,1578,961,1,0,0,1,0,0.87,-0.5,-0.87,-0.5,-0.95,-0.31,0.78,0.62
7267,1553,2155,2155,2,0,0,0,0,-0.71,-0.71,1.0,0.0,-0.59,-0.81,-0.78,0.62
5481,2852,3327,3327,3,1,0,0,1,0.71,-0.71,0.87,-0.5,-0.95,-0.31,-0.43,-0.9
8081,872,3327,3327,2,0,0,1,0,0.71,-0.71,0.0,1.0,-0.59,0.81,-0.43,-0.9
2255,2852,2155,2155,2,1,0,0,1,0.5,-0.87,-0.87,-0.5,-0.59,-0.81,-0.43,-0.9
4467,2852,3327,3327,3,1,0,0,1,0.26,-0.97,0.87,-0.5,0.95,0.31,0.43,-0.9
4856,1257,3327,3327,3,0,0,1,0,0.97,0.26,-0.5,-0.87,0.0,-1.0,0.43,-0.9
6574,1553,1578,961,1,1,0,0,1,1.0,0.0,0.5,-0.87,0.95,0.31,0.43,-0.9
5869,1553,2155,2155,2,0,0,0,0,-0.71,-0.71,1.0,0.0,0.59,-0.81,0.43,-0.9
10370,2852,2155,2155,2,0,0,1,0,-0.87,0.5,0.0,1.0,-0.95,0.31,-0.78,0.62
1909,608,3327,3327,2,0,0,0,0,0.87,-0.5,-1.0,-0.0,0.59,0.81,-0.0,1.0
8101,872,3327,3327,2,0,1,0,0,0.87,0.5,-1.0,-0.0,0.59,0.81,-0.43,-0.9
787,872,3327,3327,2,0,0,1,0,-0.26,-0.97,0.0,1.0,-0.95,-0.31,0.78,0.62
9753,1553,526,526,1,0,0,1,0,-0.87,0.5,0.5,-0.87,0.95,-0.31,-0.97,-0.22
6257,608,2155,2155,1,1,0,0,1,1.0,0.0,-0.5,-0.87,0.59,-0.81,0.78,0.62
8776,872,3327,3327,3,0,1,0,0,-0.71,-0.71,0.5,-0.87,-0.59,-0.81,0.43,-0.9
6920,872,3327,3327,2,1,0,0,1,0.97,-0.26,0.5,-0.87,0.0,-1.0,-0.78,0.62
9736,1257,3327,3327,3,1,0,0,1,-0.5,0.87,0.0,1.0,0.95,-0.31,0.78,0.62
7779,1257,3327,3327,2,1,0,0,1,0.71,-0.71,-1.0,-0.0,-0.59,0.81,-0.0,1.0
9015,872,3327,3327,2,1,0,0,1,0.97,-0.26,0.0,-1.0,0.95,-0.31,0.78,0.62
5390,872,3327,3327,2,0,1,0,0,0.71,-0.71,-0.5,-0.87,-0.59,-0.81,0.43,-0.9
569,1257,1578,617,1,0,1,0,0,-0.71,0.71,-0.87,0.5,-0.59,0.81,-0.78,0.62
7669,608,2155,2155,1,0,1,0,0,1.0,0.0,-0.5,-0.87,-0.95,0.31,0.78,0.62
4200,1553,1578,961,1,1,0,0,1,0.26,0.97,0.0,-1.0,0.0,-1.0,-0.78,0.62
4352,1257,2155,2155,3,1,0,0,1,0.71,-0.71,0.87,0.5,0.95,0.31,0.43,-0.9
7379,1257,1578,961,1,1,0,0,1,-0.71,0.71,0.5,-0.87,-0.95,0.31,0.97,-0.22
6385,1553,3327,3327,2,0,1,0,0,0.97,-0.26,-0.5,0.87,-0.59,0.81,-0.78,0.62
5475,2852,2155,2155,2,0,0,1,0,-0.71,0.71,-0.87,0.5,-0.59,0.81,-0.43,-0.9
8017,1257,3327,3327,2,0,1,0,0,0.0,-1.0,0.0,-1.0,-0.59,-0.81,0.43,-0.9
10479,872,3327,3327,2,0,1,0,0,0.97,-0.26,0.5,-0.87,0.95,-0.31,-0.0,1.0
3433,1553,301,301,1,0,0,1,0,0.26,-0.97,-0.5,0.87,-0.95,0.31,-0.78,0.62
6881,1257,1578,961,1,0,0,0,0,-0.71,0.71,0.5,-0.87,0.95,-0.31,0.43,-0.9
6917,872,3327,3327,2,0,1,0,0,0.97,-0.26,0.5,-0.87,-0.95,-0.31,0.43,-0.9
9248,1553,3327,3327,2,0,0,1,0,0.26,-0.97,0.5,0.87,0.0,-1.0,0.43,-0.9
7920,2852,3327,3327,2,1,0,0,1,-0.5,0.87,0.87,0.5,0.95,0.31,0.43,-0.9
6289,1553,3327,3327,2,0,0,1,0,0.97,0.26,-0.87,0.5,-0.59,0.81,-0.43,-0.9
6481,2852,1578,961,1,0,0,1,0,0.87,-0.5,-0.87,-0.5,-0.95,0.31,-0.78,0.62
1255,2852,2155,2155,2,1,0,0,1,-0.87,0.5,0.0,1.0,-0.59,-0.81,-0.43,-0.9
4642,1553,3327,3327,2,0,1,0,0,1.0,0.0,0.87,-0.5,0.59,0.81,-0.43,-0.9
9454,2852,3327,3327,2,1,0,0,1,-0.26,-0.97,0.0,1.0,-0.95,-0.31,-0.43,-0.9
3782,359,3327,3327,1,0,1,0,0,-0.5,-0.87,-0.5,-0.87,-0.59,0.81,-0.78,0.62
10316,359,1578,961,1,1,0,0,1,-0.97,0.26,0.0,-1.0,-0.59,-0.81,-0.43,-0.9
5356,2852,2155,2155,2,0,0,0,0,-0.87,0.5,0.0,1.0,0.59,0.81,0.78,0.62
5067,2852,3327,3327,3,1,0,0,1,0.26,-0.97,-1.0,-0.0,0.95,0.31,0.43,-0.9
5961,1553,3327,3327,2,0,0,1,0,0.97,0.26,0.5,-0.87,-0.95,0.31,-0.78,0.62
202,1257,3327,3327,1,0,0,1,0,0.97,0.26,-0.87,0.5,-0.95,0.31,-0.78,0.62
7980,872,3327,3327,2,0,0,1,0,0.26,-0.97,0.0,-1.0,-0.95,-0.31,0.78,0.62
1532,2852,3327,3327,3,1,0,0,1,1.0,0.0,-1.0,-0.0,0.59,-0.81,0.78,0.62
5310,2852,1578,617,2,0,1,0,0,-0.5,0.87,-0.5,-0.87,0.95,0.31,0.97,-0.22
8935,1257,3327,3327,2,1,0,0,1,0.71,-0.71,-1.0,-0.0,-0.59,-0.81,-0.43,-0.9
9328,359,2155,2155,2,0,0,1,0,0.97,-0.26,-0.87,0.5,0.59,0.81,0.43,-0.9
596,2852,1578,617,2,0,1,0,0,0.87,-0.5,0.0,1.0,0.0,-1.0,-0.97,-0.22
8538,872,3327,3327,2,1,0,0,1,-0.71,-0.71,1.0,0.0,-0.59,0.81,-0.0,1.0
3389,2852,2155,2155,2,0,0,1,0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.43,-0.9
3177,2852,3327,3327,2,0,0,1,0,-1.0,-0.0,1.0,0.0,-0.95,-0.31,0.78,0.62
7617,872,3327,3327,2,1,0,0,1,0.5,-0.87,0.0,1.0,-0.95,-0.31,-0.43,-0.9
8784,2852,3327,3327,2,0,1,0,0,-0.97,0.26,-1.0,-0.0,-0.95,-0.31,0.43,-0.9
1758,1553,526,526,1,0,0,1,0,0.71,-0.71,-0.87,0.5,0.59,-0.81,-0.97,-0.22
299,359,1578,961,1,1,0,0,1,0.97,-0.26,0.0,1.0,-0.95,-0.31,-0.43,-0.9
5047,359,1578,961,1,1,0,0,1,-0.71,0.71,0.0,1.0,0.59,-0.81,0.78,0.62
800,2852,3327,3327,3,0,0,1,0,-0.5,-0.87,-0.5,0.87,-0.95,0.31,-0.78,0.62
8719,1257,3327,3327,3,0,0,1,0,0.5,-0.87,-0.5,-0.87,0.59,0.81,0.97,-0.22
9043,1553,2155,2155,1,0,0,0,0,-0.71,-0.71,1.0,0.0,0.95,-0.31,0.43,-0.9
